City,Country,Date,Lat,Lng,Max Temperature (F),Humidity,Cloudiness,Wind Speed
vaini,to,2018-07-27 07:35:51,15.34,74.49,73.56,100.0,88.0,9.98
airai,pw,2018-07-27 07:43:42,-8.93,125.41,78.6,56.0,20.0,1.14
grand haven,us,2018-07-27 07:17:00,43.06,-86.23,66.2,100.0,1.0,12.88
albany,au,2018-07-27 07:11:00,42.65,-73.75,73.4,83.0,20.0,4.7
ushuaia,ar,2018-07-27 07:00:00,-54.81,-68.31,50.0,18.0,0.0,20.8
jamestown,sh,2018-07-27 07:43:15,-33.21,138.6,55.2,63.0,32.0,12.77
port elizabeth,za,2018-07-27 07:12:00,39.31,-74.98,75.2,94.0,1.0,6.17
san antonio,cl,2018-07-27 07:00:00,-33.58,-71.61,48.2,81.0,90.0,2.24
chuy,uy,2018-07-27 07:42:49,-33.69,-53.46,52.77,98.0,88.0,15.68
atuona,pf,2018-07-27 07:42:56,-9.8,-139.03,78.87,100.0,56.0,17.13
mecca,sa,2018-07-27 07:00:00,21.43,39.83,102.2,24.0,0.0,7.63
lavrentiya,ru,2018-07-27 07:40:29,65.58,-170.99,45.93,94.0,92.0,8.3
moss point,us,2018-07-27 07:35:00,30.41,-88.53,82.4,100.0,90.0,3.15
mantua,cu,2018-07-27 07:20:00,45.16,10.79,78.8,61.0,0.0,3.36
zaoyang,cn,2018-07-27 07:45:15,32.12,112.76,77.88,100.0,88.0,5.39
longyearbyen,sj,2018-07-27 07:20:00,78.22,15.63,42.8,81.0,75.0,25.28
vila franca do campo,pt,2018-07-27 07:30:00,37.72,-25.43,69.8,83.0,20.0,13.87
bluff,nz,2018-07-27 07:42:39,-23.58,149.07,69.87,46.0,88.0,4.94
lorengau,pg,2018-07-27 07:42:24,-2.02,147.27,81.3,100.0,56.0,4.61
olinda,br,2018-07-27 07:00:00,-2.03,-79.75,69.8,77.0,75.0,11.41
mitsamiouli,km,2018-07-27 07:00:00,-11.38,43.28,78.8,78.0,75.0,12.75
sao filipe,cv,2018-07-27 07:45:17,14.9,-24.5,73.83,100.0,88.0,9.64
saint-philippe,re,2018-07-27 07:15:00,45.36,-73.48,69.8,88.0,75.0,5.82
castro,cl,2018-07-27 07:40:29,-42.48,-73.76,38.28,100.0,64.0,2.26
barrow,us,2018-07-27 07:42:35,-38.31,-60.23,42.33,91.0,8.0,9.75
torbay,ca,2018-07-27 07:00:00,47.66,-52.73,66.2,100.0,90.0,27.51
bilibino,ru,2018-07-27 07:45:18,68.06,166.44,52.77,88.0,92.0,2.15
ostrovnoy,ru,2018-07-27 07:43:38,68.05,39.51,58.26,77.0,0.0,12.77
alofi,nu,2018-07-27 07:00:00,-19.06,-169.92,73.4,94.0,92.0,9.17
busselton,au,2018-07-27 07:42:34,-33.64,115.35,61.95,100.0,92.0,19.15
hobart,au,2018-07-27 07:00:00,-42.88,147.33,51.8,78.0,20.0,17.22
cururupu,br,2018-07-27 07:45:19,-1.82,-44.87,75.72,94.0,32.0,6.17
akureyri,is,2018-07-27 07:00:00,65.68,-18.09,53.6,81.0,0.0,12.75
